Year,County,Total Sites Visited,Total Ticks Collected,Tick Population Density,Total Ticks Tested,Pools Tested,Pools Positive,Minimum Infection Rate,County Location
2011,Westchester,1,116,168.4,50,5,2,4,"(41.1527698, -73.745912)"
2012,Albany,3,315,85.4,274,28,0,0,"(42.5882713, -73.9740136)"
2012,Allegany,2,53,4.1,0,,,,"(42.2478938, -78.0261758)"
2012,Cattaraugus,2,198,29.8,0,,,,"(42.2448527, -78.6810055)"
2012,Chautauqua,1,53,6.1,0,,,,"(42.3042159, -79.4075949)"
2012,Chemung,1,50,15.9,0,,,,"(42.1552807, -76.7471788)"
2012,Clinton,1,29,6.3,0,,,,"(44.7527103, -73.7056478)"
2012,Columbia,9,1679,71.7,1292,141,2,0.2,"(42.2477286, -73.6268046)"
2012,Dutchess,1,73,68.5,0,,,,"(41.7550085, -73.7399512)"
2012,Erie,1,56,38.2,0,,,,"(42.752759, -78.7781922)"
2012,Essex,1,4,0.7,0,,,,"(44.1089711, -73.7775726)"
2012,Fulton,3,2,0.6,0,,,,"(43.1156093, -74.4236782)"
2012,Livingston,1,51,6.2,0,,,,"(42.7274845, -77.7697795)"
2012,Monroe,1,64,49.2,0,,,,"(43.174966, -77.639663)"
2012,Montgomery,1,53,38.9,0,,,,"(42.9008912, -74.4353575)"
2012,Onondaga,1,45,39.8,0,,,,"(43.0065299, -76.1961167)"
2012,Orange,1,76,47.8,0,,,,"(41.4024096, -74.3062522)"
2012,Oswego,1,51,88.7,0,,,,"(43.4614428, -76.209258)"
2012,Rockland,1,69,23,0,,,,"(41.1547851, -74.0247721)"
2012,Saratoga,1,138,98.9,88,9,0,0,"(43.1061353, -73.8553872)"
2012,Schoharie,1,89,22.7,0,,,,"(42.591294, -74.4381718)"
2012,Schuyler,1,86,27.2,0,,,,"(42.419776, -76.9386038)"
2012,Seneca,1,61,20.1,0,,,,"(42.7822943, -76.827088)"
2012,Steuben,1,16,2.7,0,,,,"(42.2667252, -77.3855253)"
2012,Sullivan,1,63,38.8,0,,,,"(41.7201763, -74.7646796)"
2012,Ulster,1,59,30.5,0,,,,"(41.9472321, -74.265447)"
2012,Warren,1,77,15.1,27,4,0,0,"(43.5551053, -73.8381388)"
2012,Westchester,1,58,17.7,0,,,,"(41.1527698, -73.745912)"
2013,Albany,3,199,73.2,88,11,0,0,"(42.5882713, -73.9740136)"
2013,Allegany,3,54,9.7,0,,,,"(42.2478938, -78.0261758)"
2013,Cattaraugus,4,220,28.8,119,15,0,0,"(42.2448527, -78.6810055)"
2013,Chautauqua,5,53,10.8,0,,,,"(42.3042159, -79.4075949)"
2013,Chemung,1,55,55,0,,,,"(42.1552807, -76.7471788)"
2013,Chenango,1,1,1,0,,,,"(42.489732, -75.6049051)"
2013,Columbia,4,373,75.3,322,37,0,0,"(42.2477286, -73.6268046)"
2013,Cortland,2,0,0,0,,,,"(42.5938237, -76.0762647)"
2013,Delaware,2,2,0.9,0,,,,"(42.1939865, -74.966728)"
2013,Dutchess,4,209,40.3,50,10,0,0,"(41.7550085, -73.7399512)"
2013,Erie,6,187,15.6,135,14,0,0,"(42.752759, -78.7781922)"
2013,Essex,4,0,0,0,,,,"(44.1089711, -73.7775726)"
2013,Franklin,3,8,2,0,,,,"(44.5943743, -74.3106698)"
2013,Fulton,1,1,0.9,0,,,,"(43.1156093, -74.4236782)"
2013,Greene,4,81,13.9,0,,,,"(42.2869511, -74.1494949)"
2013,Hamilton,2,1,0.4,0,,,,"(43.6578786, -74.5024556)"
2013,Jefferson,1,0,0,0,,,,"(43.9953714, -76.0535218)"
2013,Lewis,3,0,0,0,,,,"(43.7863965, -75.4426165)"
2013,Livingston,2,26,6.5,0,,,,"(42.7274845, -77.7697795)"
2013,Madison,2,2,1,0,,,,"(42.9100255, -75.6635749)"
2013,Monroe,3,172,28.7,65,7,0,0,"(43.174966, -77.639663)"
2013,Montgomery,3,91,19.2,49,6,0,0,"(42.9008912, -74.4353575)"
2013,Oneida,1,0,0,0,,,,"(43.2427273, -75.4342824)"
2013,Onondaga,2,67,43.2,0,,,,"(43.0065299, -76.1961167)"
2013,Orange,1,119,95.5,50,10,2,4,"(41.4024096, -74.3062522)"
2013,Oswego,2,65,61.8,0,,,,"(43.4614428, -76.209258)"
2013,Otsego,2,4,1.8,0,,,,"(42.6297762, -75.028841)"
2013,Rensselaer,1,40,28,0,,,,"(42.7104206, -73.5138454)"
2013,Rockland,1,111,42.4,50,10,0,0,"(41.1547851, -74.0247721)"
2013,Saratoga,4,271,81.9,146,17,0,0,"(43.1061353, -73.8553872)"
2013,Schenectady,2,121,52.9,23,4,0,0,"(42.8175421, -74.0435834)"
2013,Schoharie,3,29,8.9,0,,,,"(42.591294, -74.4381718)"
2013,Schuyler,3,140,23.3,62,7,0,0,"(42.419776, -76.9386038)"
2013,Seneca,1,50,14.5,0,,,,"(42.7822943, -76.827088)"
2013,Steuben,4,85,15.5,20,4,0,0,"(42.2667252, -77.3855253)"
2013,Sullivan,6,188,21.6,50,10,0,0,"(41.7201763, -74.7646796)"
2013,Tompkins,2,11,5.5,0,,,,"(42.4532811, -76.4737116)"
2013,Ulster,1,118,32,50,10,0,0,"(41.9472321, -74.265447)"
2013,Warren,4,60,11.3,0,,,,"(43.5551053, -73.8381388)"
2013,Washington,4,186,28.7,55,8,0,0,"(43.3123766, -73.4394282)"
2013,Westchester,1,104,21.3,50,11,0,0,"(41.1527698, -73.745912)"
2013,Wyoming,1,0,0,0,,,,"(42.7013627, -78.2285667)"
2013,Yates,2,6,1.5,0,,,,"(42.638237, -77.1043238)"
2014,Albany,3,343,107.8,150,15,0,0,"(42.5882713, -73.9740136)"
2014,Allegany,4,54,11.2,0,,,,"(42.2478938, -78.0261758)"
2014,Broome,1,44,33.9,0,,,,"(42.1619773, -75.830291)"
2014,Cattaraugus,4,136,22.1,29,3,0,0,"(42.2448527, -78.6810055)"
2014,Chautauqua,6,54,7.4,0,,,,"(42.3042159, -79.4075949)"
2014,Chemung,1,55,21.5,0,,,,"(42.1552807, -76.7471788)"
2014,Chenango,3,1,0.3,0,,,,"(42.489732, -75.6049051)"
2014,Clinton,4,11,2.1,0,,,,"(44.7527103, -73.7056478)"
2014,Columbia,5,828,152.3,576,63,4,0.7,"(42.2477286, -73.6268046)"
2014,Cortland,2,0,0,0,,,,"(42.5938237, -76.0762647)"
2014,Delaware,5,24,3.9,0,,,,"(42.1939865, -74.966728)"
2014,Dutchess,2,143,49.4,50,10,0,0,"(41.7550085, -73.7399512)"
2014,Erie,7,133,19,77,8,0,0,"(42.752759, -78.7781922)"
2014,Essex,2,118,19.4,0,,,,"(44.1089711, -73.7775726)"
2014,Franklin,2,0,0,0,,,,"(44.5943743, -74.3106698)"
2014,Fulton,3,61,26.6,7,1,0,0,"(43.1156093, -74.4236782)"
2014,Genesee,2,5,2.5,0,,,,"(43.0009096, -78.1927784)"
2014,Greene,5,246,45.9,70,9,0,0,"(42.2869511, -74.1494949)"
2014,Hamilton,1,0,0,0,,,,"(43.6578786, -74.5024556)"
2014,Herkimer,2,0,0,0,,,,"(43.4616351, -74.8946938)"
2014,Jefferson,4,271,35.8,141,18,0,0,"(43.9953714, -76.0535218)"
2014,Lewis,1,1,1,0,,,,"(43.7863965, -75.4426165)"
2014,Livingston,1,11,11,0,,,,"(42.7274845, -77.7697795)"
2014,Madison,3,0,0,0,,,,"(42.9100255, -75.6635749)"
2014,Monroe,2,106,52.5,0,,,,"(43.174966, -77.639663)"
2014,Montgomery,4,500,122.3,333,36,0,0,"(42.9008912, -74.4353575)"
2014,Niagara,1,0,0,0,,,,"(43.203001, -78.71083)"
2014,Oneida,2,0,0,0,,,,"(43.2427273, -75.4342824)"
2014,Onondaga,2,175,117.3,115,17,0,0,"(43.0065299, -76.1961167)"
2014,Ontario,1,2,2,0,,,,"(42.8566949, -77.3032768)"
2014,Orange,1,134,96.1,50,10,7,14,"(41.4024096, -74.3062522)"
2014,Orleans,1,0,0,0,,,,"(43.209007, -78.254897)"
2014,Oswego,3,116,49.4,64,8,0,0,"(43.4614428, -76.209258)"
2014,Otsego,4,81,16.1,29,4,0,0,"(42.6297762, -75.028841)"
2014,Rensselaer,3,248,81.5,166,17,1,0.6,"(42.7104206, -73.5138454)"
2014,Rockland,1,134,54.5,59,11,1,1.7,"(41.1547851, -74.0247721)"
2014,Saratoga,3,145,52.5,45,6,0,0,"(43.1061353, -73.8553872)"
2014,Schenectady,4,114,20.8,9,2,0,0,"(42.8175421, -74.0435834)"
2014,Schoharie,4,175,36.8,78,9,0,0,"(42.591294, -74.4381718)"
2014,Schuyler,1,52,12,0,,,,"(42.419776, -76.9386038)"
2014,Seneca,1,55,14.1,0,,,,"(42.7822943, -76.827088)"
2014,Steuben,4,99,16.8,35,4,0,0,"(42.2667252, -77.3855253)"
2014,Suffolk,2,310,40.9,60,12,1,1.7,"(40.943554, -72.6922184)"
2014,Sullivan,4,172,26.4,50,10,1,2,"(41.7201763, -74.7646796)"
2014,Tompkins,2,18,9,0,,,,"(42.4532811, -76.4737116)"
2014,Ulster,2,130,37.4,50,10,0,0,"(41.9472321, -74.265447)"
2014,Warren,4,166,17.5,23,4,0,0,"(43.5551053, -73.8381388)"
2014,Washington,4,371,74.1,242,27,0,0,"(43.3123766, -73.4394282)"
2014,Wayne,2,2,1,0,,,,"(43.112841, -77.027175)"
2014,Westchester,1,107,19.1,50,10,0,0,"(41.1527698, -73.745912)"
2014,Wyoming,1,77,43.8,27,3,0,0,"(42.7013627, -78.2285667)"
2014,Yates,1,3,3,0,,,,"(42.638237, -77.1043238)"
2015,Albany,5,263,35.8,142,16,0,0,"(42.5882713, -73.9740136)"
2015,Allegany,4,71,7.8,0,,,,"(42.2478938, -78.0261758)"
2015,Cattaraugus,8,223,10.7,13,2,0,0,"(42.2448527, -78.6810055)"
2015,Cayuga,1,0,0,0,,,,"(43.0085456, -76.5745866)"
2015,Chautauqua,5,59,9,3,1,0,0,"(42.3042159, -79.4075949)"
2015,Chemung,2,66,20.3,0,,,,"(42.1552807, -76.7471788)"
2015,Chenango,1,0,0,0,,,,"(42.489732, -75.6049051)"
2015,Clinton,4,85,8,0,,,,"(44.7527103, -73.7056478)"
2015,Columbia,4,230,44.4,56,8,0,0,"(42.2477286, -73.6268046)"
2015,Delaware,5,80,10.2,7,1,0,0,"(42.1939865, -74.966728)"
2015,Dutchess,2,167,62.3,50,10,0,0,"(41.7550085, -73.7399512)"
2015,Erie,9,77,6.2,0,,,,"(42.752759, -78.7781922)"
2015,Essex,5,69,7.5,0,,,,"(44.1089711, -73.7775726)"
2015,Franklin,5,13,1.8,0,,,,"(44.5943743, -74.3106698)"
2015,Fulton,3,103,33,14,2,0,0,"(43.1156093, -74.4236782)"
2015,Genesee,2,14,7,0,,,,"(43.0009096, -78.1927784)"
2015,Greene,3,133,25.4,4,1,0,0,"(42.2869511, -74.1494949)"
2015,Hamilton,5,1,0.2,0,,,,"(43.6578786, -74.5024556)"
2015,Herkimer,3,8,2.7,0,,,,"(43.4616351, -74.8946938)"
2015,Jefferson,3,63,19.6,0,,,,"(43.9953714, -76.0535218)"
2015,Livingston,3,269,90.3,155,16,0,0,"(42.7274845, -77.7697795)"
2015,Madison,4,1,0.2,0,,,,"(42.9100255, -75.6635749)"
2015,Monroe,2,367,117.5,260,28,0,0,"(43.174966, -77.639663)"
2015,Montgomery,3,359,100.3,206,23,0,0,"(42.9008912, -74.4353575)"
2015,Niagara,2,1,0.5,0,,,,"(43.203001, -78.71083)"
2015,Oneida,1,1,1,0,,,,"(43.2427273, -75.4342824)"
2015,Onondaga,10,352,20.7,34,5,0,0,"(43.0065299, -76.1961167)"
2015,Ontario,3,52,8,0,,,,"(42.8566949, -77.3032768)"
2015,Orange,1,122,103.3,50,10,1,2,"(41.4024096, -74.3062522)"
2015,Orleans,2,6,3,0,,,,"(43.209007, -78.254897)"
2015,Oswego,7,34,5.9,0,,,,"(43.4614428, -76.209258)"
2015,Otsego,4,143,33.4,78,8,0,0,"(42.6297762, -75.028841)"
2015,Rensselaer,3,153,42.5,58,7,0,0,"(42.7104206, -73.5138454)"
2015,Rockland,1,119,39.1,50,10,0,0,"(41.1547851, -74.0247721)"
2015,Saratoga,3,198,46.4,48,6,0,0,"(43.1061353, -73.8553872)"
2015,Schenectady,3,101,23.3,6,1,0,0,"(42.8175421, -74.0435834)"
2015,Schoharie,4,107,23,13,2,0,0,"(42.591294, -74.4381718)"
2015,Schuyler,2,134,67,32,4,0,0,"(42.419776, -76.9386038)"
2015,Seneca,1,52,29.9,0,,,,"(42.7822943, -76.827088)"
2015,Steuben,4,70,10.1,0,,,,"(42.2667252, -77.3855253)"
2015,St Lawrence,10,390,27,113,16,0,0,"(44.4881125, -75.074311)"
2015,Suffolk,1,119,66.4,59,13,1,1.7,"(40.943554, -72.6922184)"
2015,Sullivan,6,207,23,50,10,0,0,"(41.7201763, -74.7646796)"
2015,Tioga,1,2,2,0,,,,"(42.1780568, -76.2974503)"
2015,Tompkins,1,0,0,0,,,,"(42.4532811, -76.4737116)"
2015,Ulster,2,148,29.4,50,10,0,0,"(41.9472321, -74.265447)"
2015,Warren,6,79,5.9,0,,,,"(43.5551053, -73.8381388)"
2015,Washington,4,266,53,113,13,0,0,"(43.3123766, -73.4394282)"
2015,Wayne,3,13,3.3,0,,,,"(43.112841, -77.027175)"
2015,Westchester,1,111,47.6,50,10,0,0,"(41.1527698, -73.745912)"
2015,Wyoming,2,74,24.7,21,3,0,0,"(42.7013627, -78.2285667)"
2015,Yates,4,81,6.9,12,2,0,0,"(42.638237, -77.1043238)"
2016,Albany,3,147,49,32,5,0,0,"(42.5882713, -73.9740136)"
2016,Allegany,3,82,8.7,26,4,0,0,"(42.2478938, -78.0261758)"
2016,Broome,2,58,14.9,8,1,0,0,"(42.1619773, -75.830291)"
2016,Cattaraugus,7,313,10.7,92,12,0,0,"(42.2448527, -78.6810055)"
2016,Cayuga,2,146,45.9,90,10,0,0,"(43.0085456, -76.5745866)"
2016,Chautauqua,4,61,6.6,11,2,0,0,"(42.3042159, -79.4075949)"
2016,Chemung,1,50,15.8,0,,,,"(42.1552807, -76.7471788)"
2016,Chenango,1,51,14.6,0,,,,"(42.489732, -75.6049051)"
2016,Clinton,7,140,15,32,4,0,0,"(44.7527103, -73.7056478)"
2016,Columbia,3,238,114.1,100,12,3,3,"(42.2477286, -73.6268046)"
2016,Cortland,2,87,21.3,36,4,0,0,"(42.5938237, -76.0762647)"
2016,Delaware,3,64,15.7,0,,,,"(42.1939865, -74.966728)"
2016,Dutchess,4,306,63.1,88,19,0,0,"(41.7550085, -73.7399512)"
2016,Erie,6,283,47.1,223,23,0,0,"(42.752759, -78.7781922)"
2016,Essex,1,170,170,120,13,0,0,"(44.1089711, -73.7775726)"
2016,Franklin,2,74,37,24,4,0,0,"(44.5943743, -74.3106698)"
2016,Fulton,3,96,152.6,28,4,0,0,"(43.1156093, -74.4236782)"
2016,Genesee,1,25,9.4,0,,,,"(43.0009096, -78.1927784)"
2016,Greene,1,56,45.5,6,1,0,0,"(42.2869511, -74.1494949)"
2016,Hamilton,3,2,0.5,0,,,,"(43.6578786, -74.5024556)"
2016,Lewis,3,28,3.3,0,,,,"(43.7863965, -75.4426165)"
2016,Livingston,2,135,45,25,3,0,0,"(42.7274845, -77.7697795)"
2016,Madison,2,29,11.2,0,,,,"(42.9100255, -75.6635749)"
2016,Monroe,5,456,37.6,18,3,0,0,"(43.174966, -77.639663)"
2016,Montgomery,3,283,221.5,171,18,0,0,"(42.9008912, -74.4353575)"
2016,Niagara,2,7,3.5,0,,,,"(43.203001, -78.71083)"
2016,Oneida,1,124,77.5,74,8,0,0,"(43.2427273, -75.4342824)"
2016,Onondaga,12,1107,49.3,628,73,0,0,"(43.0065299, -76.1961167)"
2016,Ontario,3,190,67.9,124,13,0,0,"(42.8566949, -77.3032768)"
2016,Orange,1,131,106.5,50,10,1,2,"(41.4024096, -74.3062522)"
2016,Orleans,1,16,16,0,,,,"(43.209007, -78.254897)"
2016,Oswego,1,56,20.3,0,,,,"(43.4614428, -76.209258)"
2016,Otsego,3,267,111.3,195,20,0,0,"(42.6297762, -75.028841)"
2016,Rensselaer,3,99,24.9,22,3,0,0,"(42.7104206, -73.5138454)"
2016,Rockland,1,108,41.6,50,10,0,0,"(41.1547851, -74.0247721)"
2016,Saratoga,3,193,57.9,45,7,0,0,"(43.1061353, -73.8553872)"
2016,Schenectady,2,70,37.8,13,3,0,0,"(42.8175421, -74.0435834)"
2016,Schoharie,2,105,59.4,8,1,0,0,"(42.591294, -74.4381718)"
2016,Schuyler,1,55,55,0,,,,"(42.419776, -76.9386038)"
2016,Steuben,4,139,21.5,47,6,0,0,"(42.2667252, -77.3855253)"
2016,St Lawrence,2,115,47.9,14,3,0,0,"(44.4881125, -75.074311)"
2016,Suffolk,7,633,93.7,295,61,3,1,"(40.943554, -72.6922184)"
2016,Sullivan,6,290,38,50,10,0,0,"(41.7201763, -74.7646796)"
2016,Tompkins,2,166,139.7,91,10,0,0,"(42.4532811, -76.4737116)"
2016,Ulster,3,108,25.1,0,,,,"(41.9472321, -74.265447)"
2016,Warren,3,56,6.9,0,,,,"(43.5551053, -73.8381388)"
2016,Washington,3,216,66.9,66,10,0,0,"(43.3123766, -73.4394282)"
2016,Westchester,1,127,43.1,45,9,1,2.2,"(41.1527698, -73.745912)"
2016,Wyoming,1,72,72,20,2,0,0,"(42.7013627, -78.2285667)"
2017,Albany,3,234,74.2,95,11,0,0,"(42.5882713, -73.9740136)"
2017,Allegany,2,33,6.7,0,,,,"(42.2478938, -78.0261758)"
2017,Broome,1,0,0,0,,,,"(42.1619773, -75.830291)"
2017,Cattaraugus,4,307,30.4,145,19,0,0,"(42.2448527, -78.6810055)"
2017,Chautauqua,6,128,8.1,27,4,0,0,"(42.3042159, -79.4075949)"
2017,Chemung,1,79,79,29,4,0,0,"(42.1552807, -76.7471788)"
2017,Clinton,4,187,26,85,12,0,0,"(44.7527103, -73.7056478)"
2017,Columbia,4,642,156,491,101,5,1,"(42.2477286, -73.6268046)"
2017,Delaware,3,105,55.9,23,4,0,0,"(42.1939865, -74.966728)"
2017,Dutchess,7,671,44.2,577,117,3,0.5,"(41.7550085, -73.7399512)"
2017,Erie,3,94,31.3,44,5,0,0,"(42.752759, -78.7781922)"
2017,Essex,10,290,20.6,110,13,0,0,"(44.1089711, -73.7775726)"
2017,Franklin,8,87,9.1,31,5,0,0,"(44.5943743, -74.3106698)"
2017,Fulton,2,62,34.3,0,,,,"(43.1156093, -74.4236782)"
2017,Genesee,1,16,16,0,,,,"(43.0009096, -78.1927784)"
2017,Greene,2,110,68.7,15,2,0,0,"(42.2869511, -74.1494949)"
2017,Hamilton,5,1,0.6,0,,,,"(43.6578786, -74.5024556)"
2017,Herkimer,3,49,16.3,0,,,,"(43.4616351, -74.8946938)"
2017,Livingston,2,139,54.9,39,6,0,0,"(42.7274845, -77.7697795)"
2017,Madison,4,55,10,4,1,0,0,"(42.9100255, -75.6635749)"
2017,Monroe,2,162,81,62,8,0,0,"(43.174966, -77.639663)"
2017,Montgomery,2,93,44.3,24,3,0,0,"(42.9008912, -74.4353575)"
2017,Niagara,3,60,20,0,,,,"(43.203001, -78.71083)"
2017,Onondaga,2,158,89.7,106,11,0,0,"(43.0065299, -76.1961167)"
2017,Ontario,1,92,92,42,5,0,0,"(42.8566949, -77.3032768)"
2017,Orange,1,128,130.6,50,10,0,0,"(41.4024096, -74.3062522)"
2017,Orleans,2,52,26,2,1,0,0,"(43.209007, -78.254897)"
2017,Oswego,1,131,48.4,80,10,0,0,"(43.4614428, -76.209258)"
2017,Otsego,2,58,23.2,0,,,,"(42.6297762, -75.028841)"
2017,Rensselaer,4,132,47.7,21,3,0,0,"(42.7104206, -73.5138454)"
2017,Rockland,1,168,118.3,50,10,0,0,"(41.1547851, -74.0247721)"
2017,Saratoga,28,1342,37.1,1141,248,11,1,"(43.1061353, -73.8553872)"
2017,Schenectady,2,83,36.4,4,1,0,0,"(42.8175421, -74.0435834)"
2017,Schoharie,2,117,57.3,43,6,0,0,"(42.591294, -74.4381718)"
2017,Schuyler,2,267,91,166,18,0,0,"(42.419776, -76.9386038)"
2017,Seneca,1,70,35,19,2,0,0,"(42.7822943, -76.827088)"
2017,Steuben,4,187,25.4,80,10,0,0,"(42.2667252, -77.3855253)"
2017,St Lawrence,2,128,41.6,75,9,0,0,"(44.4881125, -75.074311)"
2017,Suffolk,8,1466,125.2,377,76,6,1.6,"(40.943554, -72.6922184)"
2017,Sullivan,3,233,60.1,66,13,1,1.5,"(41.7201763, -74.7646796)"
2017,Tioga,2,4,1.3,0,,,,"(42.1780568, -76.2974503)"
2017,Tompkins,2,174,53.7,79,8,0,0,"(42.4532811, -76.4737116)"
2017,Ulster,3,209,41.6,68,14,0,0,"(41.9472321, -74.265447)"
2017,Warren,2,52,12.9,0,,,,"(43.5551053, -73.8381388)"
2017,Washington,3,140,31.7,36,5,1,2.8,"(43.3123766, -73.4394282)"
2017,Wayne,1,0,0,0,,,,"(43.112841, -77.027175)"
2017,Westchester,1,104,21.1,50,10,0,0,"(41.1527698, -73.745912)"
2017,Wyoming,1,53,42.4,3,1,0,0,"(42.7013627, -78.2285667)"
2017,Yates,1,50,20,0,,,,"(42.638237, -77.1043238)"
2018,Albany,3,127,42,46,9,1,2.2,"(42.5882713, -73.9740136)"
2018,Allegany,1,58,19.3,8,2,0,0,"(42.2478938, -78.0261758)"
2018,Cattaraugus,5,515,62.4,265,60,0,0,"(42.2448527, -78.6810055)"
2018,Chautauqua,2,177,45.2,77,17,0,0,"(42.3042159, -79.4075949)"
2018,Chemung,1,57,38,7,2,0,0,"(42.1552807, -76.7471788)"
2018,Chenango,1,64,16.6,0,,,,"(42.489732, -75.6049051)"
2018,Clinton,2,143,15.4,45,10,0,0,"(44.7527103, -73.7056478)"
2018,Columbia,5,173,28.3,4,1,0,0,"(42.2477286, -73.6268046)"
2018,Delaware,3,74,15.5,9,3,0,0,"(42.1939865, -74.966728)"
2018,Dutchess,1,122,71.8,50,10,0,0,"(41.7550085, -73.7399512)"
2018,Erie,3,89,29.7,27,6,0,0,"(42.752759, -78.7781922)"
2018,Essex,2,225,33,127,26,0,0,"(44.1089711, -73.7775726)"
